name,input_types,output_behavior,costs,constraints
Ethereum Virtual Machine (EVM),"['bytecode', 'block state', 'transaction inputs']","['execution result', 'state transition', 'logs']",['gas metering per opcode'],"['deterministic execution', 'bounded by block gas limit']"
Smart Contract,"['EVM bytecode', 'msg.sender', 'msg.data', 'state variables']","['state changes', 'events', 'call/return values']","['deployment gas', 'execution gas']","['code immutability after deployment', 'bounded by EVM logic']"
Account Abstraction (ERC-4337),"['userOperation struct', 'entry point contract', 'bundler']","['custom signature checks', 'programmable execution']",['gas fees via paymaster or user'],"['requires bundler network', 'non-standard entrypoint']"
Ethereum Accounts,"['transactions', 'EVM calls']","['balance changes', 'nonce tracking']",['gas per tx'],"['must have unique address', 'account state in global trie']"
Externally Owned Accounts (EOAs),"['signed transaction', 'private key']","['nonce increment', 'native asset transfer', 'contract call']",['gas fee in ETH'],"['controlled via private key', 'no embedded code']"
Contract Accounts,"['contract call', 'constructor']","['persistent storage', 'EVM code execution']",['deployment and execution gas'],"['code stored in account', 'immutable code']"
State Trie / Merkle Patricia Tree,['key-value state pairs'],"['cryptographic proofs', 'Merkle root']",['hashing per state change'],"['requires deterministic ordering', 'bounded by trie depth']"
Gas & Gas Metering Logic,"['EVM opcode', 'transaction type']","['execution cost', 'out-of-gas errors']",['variable per operation'],"['block gas limit', 'opcode-specific pricing']"
EIP (Ethereum Improvement Proposal) Mechanism,"['proposal documents', 'community input']","['protocol updates', 'network-wide changes']",['governance process overhead'],"['off-chain signaling', 'on-chain activation via forks']"
Fork Choice Rules / Consensus Rules,"['block proposals', 'attestations']",['canonical chain selection'],['node computation and propagation'],"['defined by protocol spec', 'subject to client implementation']"
Beacon Chain,"['validator deposits', 'block proposals', 'attestations']","['epoch finalization', 'randomness beacons']","['validator hardware', 'network uptime']","['operates in proof-of-stake mode', 'follows finality rules']"
Validator Node Clients,"['signed blocks', 'attestations', 'slashing data']","['block proposals', 'attestation broadcasts']","['bandwidth', 'compute time', 'sync overhead']","['must follow spec', 'prone to slashing if misbehaving']"
Staking Contracts,"['ETH deposits', 'validator keys']","['validator activation', 'staking receipts']",['gas for deposit/withdrawal'],"['requires minimum stake', 'bounded by protocol logic']"
